#ParKey,BaseParRate,ScenarioParRate
DiscountCurve/EUR/0,-0.001222662772,-0.001122662772
DiscountCurve/EUR/1,-0.001797769422,-0.001697769422
DiscountCurve/EUR/2,-0.002339060770,-0.002239060770
DiscountCurve/EUR/3,-0.002577053429,-0.002477053429
DiscountCurve/EUR/4,-0.003058708349,-0.002958708349
DiscountCurve/EUR/5,-0.003133033858,-0.003033033858
DiscountCurve/EUR/6,-0.003464512753,-0.003364512753
DiscountCurve/EUR/7,-0.003094672300,-0.002994672300
DiscountCurve/EUR/8,-0.002481747213,-0.002381747213
DiscountCurve/EUR/9,-0.001744788126,-0.001644788126
DiscountCurve/EUR/10,0.000506299384,0.000606299384
DiscountCurve/EUR/11,0.003887424511,0.003987424511
DiscountCurve/EUR/12,0.007368587499,0.007468587499
DiscountCurve/EUR/13,0.008903268452,0.009003268452
DiscountCurve/EUR/14,0.009421708045,0.009521708045
DiscountCurve/EUR/15,0.009695271148,0.009795271148
DiscountCurve/GBP/0,0.007284762271,0.007384762271
DiscountCurve/GBP/1,0.007285998121,0.007385998121
DiscountCurve/GBP/2,0.007290289414,0.007390289414
DiscountCurve/GBP/3,0.007107409908,0.007207409908
DiscountCurve/GBP/4,0.006798654450,0.006898654450
DiscountCurve/GBP/5,0.006949091819,0.007049091819
DiscountCurve/GBP/6,0.002779263633,0.002879263633
DiscountCurve/GBP/7,0.002900714744,0.003000714744
DiscountCurve/GBP/8,0.003259960929,0.003359960929
DiscountCurve/GBP/9,0.003922175451,0.004022175451
DiscountCurve/GBP/10,0.005920799815,0.006020799815
DiscountCurve/GBP/11,0.009131994024,0.009231994024
DiscountCurve/GBP/12,0.012029636428,0.012129636428
DiscountCurve/GBP/13,0.013964121839,0.014064121839
DiscountCurve/GBP/14,0.014111253878,0.014211253878
DiscountCurve/GBP/15,0.014207060891,0.014307060891
DiscountCurve/USD/0,1.132759111646,1.132859111646
DiscountCurve/USD/1,1.133317398213,1.133417398213
DiscountCurve/USD/2,1.135353003616,1.135453003616
DiscountCurve/USD/3,1.138988829145,1.139088829145
DiscountCurve/USD/4,1.143029294589,1.143129294589
DiscountCurve/USD/5,-0.003018992772,-0.002918992772
DiscountCurve/USD/6,-0.005657444681,-0.005557444681
DiscountCurve/USD/7,-0.006103312589,-0.006003312589
DiscountCurve/USD/8,-0.006488711785,-0.006388711785
DiscountCurve/USD/9,-0.006537368022,-0.006437368022
DiscountCurve/USD/10,-0.006726548007,-0.006626548007
DiscountCurve/USD/11,-0.006428305096,-0.006328305096
DiscountCurve/USD/12,-0.005756661468,-0.005656661468
DiscountCurve/USD/13,-0.005112359158,-0.005012359158
DiscountCurve/USD/14,-0.005041504394,-0.004941504394
DiscountCurve/USD/15,-0.004604270866,-0.004504270866
IndexCurve/EUR-EONIA/0,-0.001222662772,-0.001122662772
IndexCurve/EUR-EONIA/1,-0.001797769422,-0.001697769422
IndexCurve/EUR-EONIA/2,-0.002339060770,-0.002239060770
IndexCurve/EUR-EONIA/3,-0.002577053429,-0.002477053429
IndexCurve/EUR-EONIA/4,-0.003058708349,-0.002958708349
IndexCurve/EUR-EONIA/5,-0.003133033858,-0.003033033858
IndexCurve/EUR-EONIA/6,-0.003464512753,-0.003364512753
IndexCurve/EUR-EONIA/7,-0.003094672300,-0.002994672300
IndexCurve/EUR-EONIA/8,-0.002481747213,-0.002381747213
IndexCurve/EUR-EONIA/9,-0.001744788126,-0.001644788126
IndexCurve/EUR-EONIA/10,0.000506299384,0.000606299384
IndexCurve/EUR-EONIA/11,0.003887424511,0.003987424511
IndexCurve/EUR-EONIA/12,0.007368587499,0.007468587499
IndexCurve/EUR-EONIA/13,0.008903268452,0.009003268452
IndexCurve/EUR-EONIA/14,0.009421708045,0.009521708045
IndexCurve/EUR-EONIA/15,0.009695271148,0.009795271148
IndexCurve/EUR-EURIBOR-1M/0,-0.000453987462,-0.000353987462
IndexCurve/EUR-EURIBOR-1M/1,-0.000371070144,-0.000271070144
IndexCurve/EUR-EURIBOR-1M/2,-0.000127533704,-0.000027533704
IndexCurve/EUR-EURIBOR-1M/3,-0.000946136862,-0.000846136862
IndexCurve/EUR-EURIBOR-1M/4,-0.001276846312,-0.001176846312
IndexCurve/EUR-EURIBOR-1M/5,-0.001542205265,-0.001442205265
IndexCurve/EUR-EURIBOR-1M/6,-0.001808348041,-0.001708348041
IndexCurve/EUR-EURIBOR-1M/7,-0.001469193871,-0.001369193871
IndexCurve/EUR-EURIBOR-1M/8,-0.000782197334,-0.000682197334
IndexCurve/EUR-EURIBOR-1M/9,0.000102693949,0.000202693949
IndexCurve/EUR-EURIBOR-1M/10,0.002232607123,0.002332607123
IndexCurve/EUR-EURIBOR-1M/11,0.005693903716,0.005793903716
IndexCurve/EUR-EURIBOR-1M/12,0.009216127808,0.009316127808
IndexCurve/EUR-EURIBOR-1M/13,0.010404378705,0.010504378705
IndexCurve/EUR-EURIBOR-1M/14,0.010962041477,0.011062041477
IndexCurve/EUR-EURIBOR-1M/15,0.010902920984,0.011002920984
IndexCurve/EUR-EURIBOR-3M/0,-0.000453987462,-0.000353987462
IndexCurve/EUR-EURIBOR-3M/1,-0.000371070144,-0.000271070144
IndexCurve/EUR-EURIBOR-3M/2,-0.000127533704,-0.000027533704
IndexCurve/EUR-EURIBOR-3M/3,-0.000946136862,-0.000846136862
IndexCurve/EUR-EURIBOR-3M/4,-0.001276846312,-0.001176846312
IndexCurve/EUR-EURIBOR-3M/5,-0.001542401391,-0.001442401391
IndexCurve/EUR-EURIBOR-3M/6,-0.001808599694,-0.001708599694
IndexCurve/EUR-EURIBOR-3M/7,-0.001469396897,-0.001369396897
IndexCurve/EUR-EURIBOR-3M/8,-0.000782298326,-0.000682298326
IndexCurve/EUR-EURIBOR-3M/9,0.000102759843,0.000202759843
IndexCurve/EUR-EURIBOR-3M/10,0.002232892487,0.002332892487
IndexCurve/EUR-EURIBOR-3M/11,0.005694726420,0.005794726420
IndexCurve/EUR-EURIBOR-3M/12,0.009217447235,0.009317447235
IndexCurve/EUR-EURIBOR-3M/13,0.010405430194,0.010505430194
IndexCurve/EUR-EURIBOR-3M/14,0.010963213832,0.011063213832
IndexCurve/EUR-EURIBOR-3M/15,0.010903807096,0.011003807096
IndexCurve/EUR-EURIBOR-6M/0,0.000245985881,0.000345985881
IndexCurve/EUR-EURIBOR-6M/1,0.000245987141,0.000345987141
IndexCurve/EUR-EURIBOR-6M/2,0.000245992268,0.000345992268
IndexCurve/EUR-EURIBOR-6M/3,0.000246000000,0.000346000000
IndexCurve/EUR-EURIBOR-6M/4,-0.000069133275,0.000030866725
IndexCurve/EUR-EURIBOR-6M/5,-0.000229761956,-0.000129761956
IndexCurve/EUR-EURIBOR-6M/6,-0.000466007255,-0.000366007255
IndexCurve/EUR-EURIBOR-6M/7,-0.000156005426,-0.000056005426
IndexCurve/EUR-EURIBOR-6M/8,0.000629995041,0.000729995041
IndexCurve/EUR-EURIBOR-6M/9,0.001521994729,0.001621994729
IndexCurve/EUR-EURIBOR-6M/10,0.003687884473,0.003787884473
IndexCurve/EUR-EURIBOR-6M/11,0.006944439598,0.007044439598
IndexCurve/EUR-EURIBOR-6M/12,0.009960524985,0.010060524985
IndexCurve/EUR-EURIBOR-6M/13,0.011245760961,0.011345760961
IndexCurve/EUR-EURIBOR-6M/14,0.011602586389,0.011702586389
IndexCurve/EUR-EURIBOR-6M/15,0.011549344545,0.011649344545
IndexCurve/GBP-LIBOR-6M/0,0.005949363510,0.006049363510
IndexCurve/GBP-LIBOR-6M/1,0.005931000000,0.006031000000
IndexCurve/GBP-LIBOR-6M/2,0.006719000000,0.006819000000
IndexCurve/GBP-LIBOR-6M/3,0.008946000000,0.009046000000
IndexCurve/GBP-LIBOR-6M/4,0.007811949257,0.007911949257
IndexCurve/GBP-LIBOR-6M/5,0.008569082239,0.008669082239
IndexCurve/GBP-LIBOR-6M/6,0.008265454986,0.008365454986
IndexCurve/GBP-LIBOR-6M/7,0.008687093191,0.008787093191
IndexCurve/GBP-LIBOR-6M/8,0.009327629377,0.009427629377
IndexCurve/GBP-LIBOR-6M/9,0.010029840334,0.010129840334
IndexCurve/GBP-LIBOR-6M/10,0.011984975554,0.012084975554
IndexCurve/GBP-LIBOR-6M/11,0.014513422519,0.014613422519
IndexCurve/GBP-LIBOR-6M/12,0.016384248334,0.016484248334
IndexCurve/GBP-LIBOR-6M/13,0.017005209643,0.017105209643
IndexCurve/GBP-LIBOR-6M/14,0.016824717499,0.016924717499
IndexCurve/GBP-LIBOR-6M/15,0.016899259625,0.016999259625
IndexCurve/USD-LIBOR-3M/0,0.006629788341,0.006729788341
IndexCurve/USD-LIBOR-3M/1,0.007297793403,0.007397793403
IndexCurve/USD-LIBOR-3M/2,0.007924471527,0.008024471527
IndexCurve/USD-LIBOR-3M/3,0.008037519774,0.008137519774
IndexCurve/USD-LIBOR-3M/4,0.008231372607,0.008331372607
IndexCurve/USD-LIBOR-3M/5,0.008598129929,0.008698129929
IndexCurve/USD-LIBOR-3M/6,0.009268285420,0.009368285420
IndexCurve/USD-LIBOR-3M/7,0.010240139574,0.010340139574
IndexCurve/USD-LIBOR-3M/8,0.011293783605,0.011393783605
IndexCurve/USD-LIBOR-3M/9,0.012377923002,0.012477923002
IndexCurve/USD-LIBOR-3M/10,0.014301456717,0.014401456717
IndexCurve/USD-LIBOR-3M/11,0.016700950784,0.016800950784
IndexCurve/USD-LIBOR-3M/12,0.019159164817,0.019259164817
IndexCurve/USD-LIBOR-3M/13,0.020469954071,0.020569954071
IndexCurve/USD-LIBOR-3M/14,0.021089371773,0.021189371773
IndexCurve/USD-LIBOR-3M/15,0.021525773637,0.021625773637
IndexCurve/USD-LIBOR-6M/0,0.006629788341,0.006729788341
IndexCurve/USD-LIBOR-6M/1,0.007297793403,0.007397793403
IndexCurve/USD-LIBOR-6M/2,0.007924471527,0.008024471527
IndexCurve/USD-LIBOR-6M/3,0.008028899009,0.008128899009
IndexCurve/USD-LIBOR-6M/4,0.008575634548,0.008675634548
IndexCurve/USD-LIBOR-6M/5,0.008978716269,0.009078716269
IndexCurve/USD-LIBOR-6M/6,0.007723814525,0.007823814525
IndexCurve/USD-LIBOR-6M/7,0.008866629996,0.008966629996
IndexCurve/USD-LIBOR-6M/8,0.009979630671,0.010079630671
IndexCurve/USD-LIBOR-6M/9,0.011130589585,0.011230589585
IndexCurve/USD-LIBOR-6M/10,0.013179803954,0.013279803954
IndexCurve/USD-LIBOR-6M/11,0.015439542998,0.015539542998
IndexCurve/USD-LIBOR-6M/12,0.017937692040,0.018037692040
IndexCurve/USD-LIBOR-6M/13,0.019203313694,0.019303313694
IndexCurve/USD-LIBOR-6M/14,0.019846420997,0.019946420997
IndexCurve/USD-LIBOR-6M/15,0.020306679598,0.020406679598
OptionletVolatility/EUR/0,0.005346110243,0.005446110243
OptionletVolatility/EUR/1,0.007664835549,0.007764835549
OptionletVolatility/EUR/2,0.009806029329,0.009906029329
OptionletVolatility/EUR/3,0.011730065926,0.011830065926
OptionletVolatility/EUR/4,0.013570758226,0.013670758226
OptionletVolatility/EUR/5,0.005345441800,0.005445441800
OptionletVolatility/EUR/6,0.007500237614,0.007600237614
OptionletVolatility/EUR/7,0.009502213658,0.009602213658
OptionletVolatility/EUR/8,0.011325078228,0.011425078228
OptionletVolatility/EUR/9,0.013054190018,0.013154190018
OptionletVolatility/EUR/10,0.005447902714,0.005547902714
OptionletVolatility/EUR/11,0.007297588236,0.007397588236
OptionletVolatility/EUR/12,0.009065695261,0.009165695261
OptionletVolatility/EUR/13,0.010724203267,0.010824203267
OptionletVolatility/EUR/14,0.012279758795,0.012379758795
OptionletVolatility/EUR/15,0.005981619268,0.006081619268
OptionletVolatility/EUR/16,0.007361460212,0.007461460212
OptionletVolatility/EUR/17,0.008749843282,0.008849843282
OptionletVolatility/EUR/18,0.010102792014,0.010202792014
OptionletVolatility/EUR/19,0.011386162041,0.011486162041
OptionletVolatility/EUR/20,0.006300323263,0.006400323263
OptionletVolatility/EUR/21,0.007352738372,0.007452738372
OptionletVolatility/EUR/22,0.008437752043,0.008537752043
OptionletVolatility/EUR/23,0.009532851863,0.009632851863
OptionletVolatility/EUR/24,0.010612612929,0.010712612929
OptionletVolatility/EUR/25,0.006381052658,0.006481052658
OptionletVolatility/EUR/26,0.007096305516,0.007196305516
OptionletVolatility/EUR/27,0.007831987981,0.007931987981
OptionletVolatility/EUR/28,0.008587869169,0.008687869169
OptionletVolatility/EUR/29,0.009366487899,0.009466487899
OptionletVolatility/USD/0,0.004771512495,0.004871512495
OptionletVolatility/USD/1,0.006237745654,0.006337745654
OptionletVolatility/USD/2,0.007677455043,0.007777455043
OptionletVolatility/USD/3,0.009229838211,0.009329838211
OptionletVolatility/USD/4,0.010826927159,0.010926927159
OptionletVolatility/USD/5,0.005180107971,0.005280107971
OptionletVolatility/USD/6,0.006732040327,0.006832040327
OptionletVolatility/USD/7,0.008094411985,0.008194411985
OptionletVolatility/USD/8,0.009504717903,0.009604717903
OptionletVolatility/USD/9,0.011102549179,0.011202549179
OptionletVolatility/USD/10,0.005896828331,0.005996828331
OptionletVolatility/USD/11,0.007512939428,0.007612939428
OptionletVolatility/USD/12,0.008781991633,0.008881991633
OptionletVolatility/USD/13,0.009979337416,0.010079337416
OptionletVolatility/USD/14,0.011538481172,0.011638481172
OptionletVolatility/USD/15,0.007041588180,0.007141588180
OptionletVolatility/USD/16,0.008420802405,0.008520802405
OptionletVolatility/USD/17,0.009361860332,0.009461860332
OptionletVolatility/USD/18,0.010012667269,0.010112667269
OptionletVolatility/USD/19,0.011224320637,0.011324320637
OptionletVolatility/USD/20,0.007604529472,0.007704529472
OptionletVolatility/USD/21,0.008619313356,0.008719313356
OptionletVolatility/USD/22,0.009233680443,0.009333680443
OptionletVolatility/USD/23,0.009497604183,0.009597604183
OptionletVolatility/USD/24,0.010411164290,0.010511164290
OptionletVolatility/USD/25,0.007685289055,0.007785289055
OptionletVolatility/USD/26,0.008425092077,0.008525092077
OptionletVolatility/USD/27,0.008785443147,0.008885443147
OptionletVolatility/USD/28,0.008849380034,0.008949380034
OptionletVolatility/USD/29,0.009611457080,0.009711457080
SurvivalProbability/CPTY_1/0,0.006008205636,0.006108205636
SurvivalProbability/CPTY_1/1,0.006008332264,0.006108332264
SurvivalProbability/CPTY_1/2,0.006010681262,0.006110681262
SurvivalProbability/CPTY_1/3,0.006011718190,0.006111718190
SurvivalProbability/CPTY_1/4,0.006012713924,0.006112713924
SurvivalProbability/CPTY_1/5,0.006013491010,0.006113491010
SurvivalProbability/CPTY_1/6,0.006015181081,0.006115181081
SurvivalProbability/CPTY_1/7,0.006016732735,0.006116732735
SurvivalProbability/CPTY_1/8,0.006017388776,0.006117388776
SurvivalProbability/CPTY_1/9,0.006018044188,0.006118044188
SurvivalProbability/CPTY_1/10,0.006018792108,0.006118792108
SurvivalProbability/CPTY_2/0,0.006008205636,0.006108205636
SurvivalProbability/CPTY_2/1,0.006008332264,0.006108332264
SurvivalProbability/CPTY_2/2,0.006010681262,0.006110681262
SurvivalProbability/CPTY_2/3,0.006011718190,0.006111718190
SurvivalProbability/CPTY_2/4,0.006012713924,0.006112713924
SurvivalProbability/CPTY_2/5,0.006013491010,0.006113491010
SurvivalProbability/CPTY_2/6,0.006015181081,0.006115181081
SurvivalProbability/CPTY_2/7,0.006016732735,0.006116732735
SurvivalProbability/CPTY_2/8,0.006017388776,0.006117388776
SurvivalProbability/CPTY_2/9,0.006018044188,0.006118044188
SurvivalProbability/CPTY_2/10,0.006018792108,0.006118792108
SurvivalProbability/CPTY_3/0,0.006008205636,0.006108205636
SurvivalProbability/CPTY_3/1,0.006008332264,0.006108332264
SurvivalProbability/CPTY_3/2,0.006010681262,0.006110681262
SurvivalProbability/CPTY_3/3,0.006011718190,0.006111718190
SurvivalProbability/CPTY_3/4,0.006012713924,0.006112713924
SurvivalProbability/CPTY_3/5,0.006013491010,0.006113491010
SurvivalProbability/CPTY_3/6,0.006015181081,0.006115181081
SurvivalProbability/CPTY_3/7,0.006016732735,0.006116732735
SurvivalProbability/CPTY_3/8,0.006017388776,0.006117388776
SurvivalProbability/CPTY_3/9,0.006018044188,0.006118044188
SurvivalProbability/CPTY_3/10,0.006018792108,0.006118792108
ZeroInflationCurve/UKRPI/0,0.028084152516,0.028184152516
ZeroInflationCurve/UKRPI/1,0.028250000000,0.028350000000
ZeroInflationCurve/UKRPI/2,0.029425000000,0.029525000000
ZeroInflationCurve/UKRPI/3,0.029750000000,0.029850000000
ZeroInflationCurve/UKRPI/4,0.029830000000,0.029930000000
ZeroInflationCurve/UKRPI/5,0.030000000000,0.030100000000
ZeroInflationCurve/UKRPI/6,0.030080000000,0.030180000000
ZeroInflationCurve/UKRPI/7,0.030445000000,0.030545000000
ZeroInflationCurve/UKRPI/8,0.030900000000,0.031000000000
ZeroInflationCurve/UKRPI/9,0.031090000000,0.031190000000
ZeroInflationCurve/UKRPI/10,0.031080000000,0.031180000000
ZeroInflationCurve/UKRPI/11,0.030480000000,0.030580000000
YoYInflationCurve/EUHICPXT/0,0.010820491803,0.010920491803
YoYInflationCurve/EUHICPXT/1,0.011650000000,0.011750000000
YoYInflationCurve/EUHICPXT/2,0.012319541084,0.012419541084
YoYInflationCurve/EUHICPXT/3,0.012867763963,0.012967763963
YoYInflationCurve/EUHICPXT/4,0.013275574665,0.013375574665
YoYInflationCurve/EUHICPXT/5,0.013629260554,0.013729260554
YoYInflationCurve/EUHICPXT/6,0.014246467309,0.014346467309
YoYInflationCurve/EUHICPXT/7,0.015131824797,0.015231824797
YoYInflationCurve/EUHICPXT/8,0.016455850352,0.016555850352
YoYInflationCurve/EUHICPXT/9,0.017468705789,0.017568705789
YoYInflationCurve/EUHICPXT/10,0.018204074948,0.018304074948
YoYInflationCurve/EUHICPXT/11,0.018685913631,0.018785913631
